Rank,Title,Employees,Sector,Industry,Hqcity,Ceo,Ceo-title,Revenues,Revchange,Profits,Prftchange,Assets
386,Harman International Industries,26000,Industrials,"Electronics, Electrical Equipment",Stamford,Dinesh C. Paliwal,"President, Chief Executive Officer & Director",6912,12.3,361.7,5.6,6054
387,Nvidia,10299,Technology,Semiconductors and Other Electronic Components,Santa Clara,Jen-Hsun Huang,"President, Chief Executive Officer & Director",6910,37.9,1666,171.3,9841
388,R.R. Donnelley & Sons,44360,Media,"Publishing, Printing",Chicago,Daniel L. Knotts,"President, Chief Executive Officer & Director",6896,-38.7,-495.9,-428.2,4285
389,Fifth Third Bancorp,17844,Financials,Commercial Banks,Cincinnati,Greg D. Carmichael,"President, Chief Executive Officer & Director",6889,-2,1564,-8.6,142177
390,Quintiles IMS Holdings,50000,Health Care,Health Care: Pharmacy and Other Services,Durham,Ari Bousbib,"Chairman, President & Chief Executive Officer",6878,19.9,115,-70.3,21208
391,Jones Lang LaSalle,77300,Financials,Real Estate,Chicago,Christian Ulbrich,"President, Chief Executive Officer & Director",6804,14,318.2,-27.5,7629
392,Dover,29000,Industrials,Industrial Machinery,Downers Grove,Robert A. Livingston,"President, Chief Executive Officer & Director",6794,-3.3,508.9,-41.5,10116
393,Spirit AeroSystems Holdings,14400,Aerospace & Defense,Aerospace and Defense,Wichita,Thomas C. Gentile III,"President, Chief Executive Officer & Director",6793,2.2,469.7,-40.4,5405
394,Ryder System,34500,Transportation,"Trucking, Truck Leasing",Miami,Robert E. Sanchez,Chairman & Chief Executive Officer,6787,3.3,262.5,-13.9,10903
395,A-Mark Precious Metals,83,Materials,Miscellaneous,Santa Monica,Gregory N. Roberts,Chief Executive Officer & Director,6784,11.8,9.3,31.5,437
396,Tractor Supply,19500,Retailing,Specialty Retailers: Other,Brentwood,Gregory A. Sandfort,Chief Executive Officer & Director,6780,8.9,437.1,6.5,2675
397,Sealed Air,23000,Materials,"Packaging, Containers",Charlotte,Jerome A. Peribere,"President, Chief Executive Officer & Director",6778,-3.6,486.4,45,7389
398,Auto-Owners Insurance,4737,Financials,Insurance: Property and Casualty (Mutual),Lansing,Jeffrey F. Harrold,Chairman & Chief Executive Officer,6775,4,706.3,-13.4,21571
399,Yum China Holdings,420000,"Hotels, Restaurants & Leisure",Food Services,Plano,Muktesh Pant,Chief Executive Officer & Director,6752,4,502,-13.4,3727
400,Calpine,2372,Energy,Energy,Houston,John B. Hill,"President, Chief Executive Officer & Director",6716,3.8,92,-60.9,19317
401,Owens-Illinois,27000,Materials,"Packaging, Containers",Perrysburg,Andres A. Lopez,"President, Chief Executive Officer & Director",6702,8.9,209,54.8,9135
402,Targa Resources,1970,Energy,Pipelines,Houston,Joe Bob Perkins,Chief Executive Officer & Director,6691,0.5,-187.3,-421.3,12871
403,Jones Financial (Edward Jones),43000,Financials,Securities,Des Peres,James D. Weddle,Chief Executive Officer & Director,6632,-0.9,746,-11,19424
403,JetBlue Airways,15986,Transportation,Airlines,Long Island City,Robin Hayes,"President, Chief Executive Officer & Director",6632,3.4,759,12.1,9487
405,Franklin Resources,9059,Financials,Securities,San Mateo,Gregory E. Johnson,Chairman & Chief Executive Officer,6618,-16.7,1726.7,-15.2,16099
406,Activision Blizzard,9500,Technology,Computer Software,Santa Monica,Robert A. Kotick,"President, Chief Executive Officer & Director",6608,41.7,966,8.3,17452
407,J.B. Hunt Transport Services,22190,Transportation,"Trucking, Truck Leasing",Lowell,John N. Roberts III,"President, Chief Executive Officer & Director",6556,5.9,432.1,1.1,3829
408,Constellation Brands,9000,"Food, Beverages & Tobacco",Beverages,Victor,Robert S. Sands,"President, Chief Executive Officer & Director",6548,8.6,1054.9,25.7,16965
409,NCR,33500,Technology,"Computers, Office Equipment",Duluth,William R. Nuti,Chairman & Chief Executive Officer,6543,2.7,270,25.7,7673
410,Asbury Automotive Group,7900,Retailing,"Automotive Retailing, Services",Duluth,Craig T. Monaghan,"President, Chief Executive Officer & Director",6528,-0.9,167.2,-1.2,2336
411,American Financial Group,7600,Financials,Insurance: Property and Casualty (Stock),Cincinnati,"Carl H. Lindner lll, S. Craig Lindner","Co-President, Co-Chief Executive Officer & Director",6498,5.7,649,84.4,55072
412,Discovery Communications,7000,Media,Entertainment,Silver Spring,David M. Zaslav,"President, Chief Executive Officer & Director",6497,1.6,1194,15.5,15758
413,Berry Global Group,21000,Materials,"Packaging, Containers",Evansville,Thomas E. Salmon,Chief Executive Officer & Director,6489,32.9,236,174.4,7653
414,Sanmina,40178,Technology,Semiconductors and Other Electronic Components,San Jose,Jure Sola,Chairman & Chief Executive Officer,6481,1.7,187.8,-50.2,3625
415,CalAtlantic Group,3055,Engineering & Construction,Homebuilders,Arlington,Larry T. Nicholson,"President, Chief Executive Officer & Director",6477,83,484.7,127,8709
416,Dr Pepper Snapple Group,20000,"Food, Beverages & Tobacco",Beverages,Plano,Larry D. Young,"President, Chief Executive Officer & Director",6440,2.5,847,10.9,9791
417,Dillard’s,30800,Retailing,General Merchandisers,Little Rock,William T. Dillard II,Chairman & Chief Executive Officer,6418,-5,169.2,-37.2,3888
418,HRG Group,16021,Household Products,Household and Personal Products,New York,Joseph S. Steinberg,Chairman & Chief Executive Officer,6403,10.1,-198.8,-37.2,35793
419,CMS Energy,7750,Energy,Utilities: Gas and Electric,Jackson,Patricia K. Poppe,"President, Chief Executive Officer & Director",6399,-0.9,551,5.4,21622
420,Graybar Electric,8500,Wholesalers,Wholesalers: Diversified,St. Louis,Kathleen M. Mazzarella,"Chairman, President & Chief Executive Officer",6385,4.5,93.1,2.2,2099
421,Builders FirstSource,14000,Materials,"Building Materials, Glass",Dallas,Floyd F. Sherman,Chief Executive Officer & Director,6367,78.6,144.3,2.2,2910
422,Yum Brands,90000,"Hotels, Restaurants & Leisure",Food Services,Louisville,Greg Creed,Chief Executive Officer & Director,6366,-51.4,1619,25.2,5478
423,Casey’s General Stores,24724,Retailing,Specialty Retailers: Other,Ankeny,Terry W. Handley,"President, Chief Executive Officer & Director",6304,-10.6,226,25.1,2726
424,Amphenol,62000,Technology,Network and Other Communications Equipment,Wallingford,R. Adam Norwitt,"President, Chief Executive Officer & Director",6286,12.9,822.9,7.8,8499
425,Oshkosh,13800,Industrials,Construction and Farm Machinery,Oshkosh,Wilson R. Jones,"President, Chief Executive Officer & Director",6279,3,216.4,-5.7,4514
426,iHeartMedia,18700,Media,Entertainment,San Antonio,Robert W. Pittman,Chairman & Chief Executive Officer,6274,0.5,-296.3,-5.7,12862
427,TreeHouse Foods,16027,"Food, Beverages & Tobacco",Food Consumer Products,Oak Brook,Sam K. Reed,Chairman & Chief Executive Officer,6175,92.6,-228.6,-298.9,6546
428,Alleghany,3420,Financials,Insurance: Property and Casualty (Stock),New York,Weston M. Hicks,"President, Chief Executive Officer & Director",6131,22.6,456.9,-18.5,23757
429,Expeditors International of Washington,16000,Transportation,Transportation and Logistics,Seattle,Jeffrey S. Musser,"President, Chief Executive Officer & Director",6098,-7.8,430.8,-5.8,2791
430,Avery Dennison,25000,Materials,"Packaging, Containers",Glendale,Mitchell R. Butier,"President, Chief Executive Officer & Director",6087,2,320.7,16.9,4396
431,Ameren,8629,Energy,Utilities: Gas and Electric,St. Louis,Warner L. Baxter,"Chairman, President & Chief Executive Officer",6076,-0.4,653,3.7,24699
432,Hanesbrands,67800,Apparel,Apparel,Winston-Salem,Gerald W. Evans Jr.,Chief Executive Officer & Director,6063,5.8,539.4,25.8,6908
433,Motorola Solutions,14000,Technology,Network and Other Communications Equipment,Chicago,Gregory Q. Brown,Chairman & Chief Executive Officer,6038,6,560,-8.2,8463
434,St. Jude Medical,18000,Health Care,Medical Products and Equipment,St. Paul,Miles D. White,Chairman & Chief Executive Officer,6004,8.4,734,-16.6,12578
435,Harley-Davidson,6000,Transportation,Transportation Equipment,Milwaukee,Matthew S. Levatich,"President, Chief Executive Officer & Director",5997,8.4,692.2,-8,9890
436,Regions Financial,22166,Financials,Commercial Banks,Birmingham,O.B. Grayson Hall Jr.,"Chairman, President & Chief Executive Officer",5967,5.2,1163,9.5,125968
437,Intercontinental Exchange,5631,Financials,Securities,Atlanta,Jeffrey C. Sprecher,Chairman & Chief Executive Officer,5958,27.3,1422,11.6,82003
438,Alaska Air Group,19112,Transportation,Airlines,Seattle,Bradley D. Tilden,"Chairman, President & Chief Executive Officer",5931,5.9,814,-4,9962
439,Old Republic International,8500,Financials,Insurance: Property and Casualty (Stock),Chicago,Aldo C. Zucaro,Chairman & Chief Executive Officer,5901,2.3,466.9,10.6,18592
440,Lam Research,7500,Technology,Semiconductors and Other Electronic Components,Fremont,Martin B. Anstice,"President, Chief Executive Officer & Director",5886,11.9,914,39.4,12272
441,AK Steel Holding,8500,Materials,Metals,West Chester,Roger K. Newport,Chief Executive Officer & Director,5883,-12.1,-7.8,39.4,4036
442,Rockwell Automation,22000,Industrials,"Electronics, Electrical Equipment",Milwaukee,Blake D. Moret,Chief Executive Officer & Director,5880,-6.8,729.7,-11.8,7101
443,Adobe Systems,15706,Technology,Computer Software,San Jose,Shantanu Narayen,"Chairman, President & Chief Executive Officer",5854,22.1,1168.8,85.7,12707
444,Avon Products,26400,Household Products,Household and Personal Products,Rye,Sherilyn S. McCoy,Chief Executive Officer & Director,5853,-18.4,-107.6,85.7,3419
445,Terex,18100,Industrials,Construction and Farm Machinery,Westport,John L. Garrison Jr.,"President, Chief Executive Officer & Director",5841,-10.7,-176.1,-220.7,5007
446,NVR,4900,Engineering & Construction,Homebuilders,Reston,Paul C. Saville,"President, Chief Executive Officer & Director",5835,12.9,425.3,11.1,2644
447,Dana,24900,Motor Vehicles & Parts,Motor Vehicles and Parts,Maumee,James K. Kamsickas,"President, Chief Executive Officer & Director",5826,-3.9,640,302.5,4860
448,Realogy Holdings,11800,Financials,Real Estate,Madison,Richard A. Smith,"Chairman, President & Chief Executive Officer",5810,1.8,213,15.8,7421
449,American Tower,4507,Telecommunications,Telecommunications,Boston,James D. Taiclet Jr.,"Chairman, President & Chief Executive Officer",5786,21.3,956.4,39.6,30879
450,Packaging Corp. of America,14000,Materials,"Packaging, Containers",Lake Forest,Mark W. Kowlzan,Chairman & Chief Executive Officer,5779,0.6,449.6,2.9,5777
451,Citizens Financial Group,17600,Financials,Commercial Banks,Providence,Bruce W. Van Saun,Chairman & Chief Executive Officer,5763,9.2,1045,24.4,149520
452,United Rentals,12500,Business Services,Miscellaneous,Stamford,Michael J. Kneeland,"President, Chief Executive Officer & Director",5762,-0.9,566,-3.2,11988
453,Clorox,8000,Household Products,Household and Personal Products,Oakland,Benno O. Dorer,Chairman & Chief Executive Officer,5761,1.7,648,11.7,4518
454,Genesis Healthcare,82000,Health Care,Health Care: Medical Facilities,Kennett Square,George V. Hager Jr.,Chief Executive Officer & Director,5733,2,-64,11.7,5779
455,M&T Bank Corp.,16487,Financials,Commercial Banks,Buffalo,Robert G. Wilmers,Chairman & Chief Executive Officer,5722,14.5,1315.1,21.8,123449
456,Ingredion,11000,"Food, Beverages & Tobacco",Food Production,Westchester,Ilene S. Gordon,"Chairman, President & Chief Executive Officer",5704,1.5,484.9,20.6,5782
457,UGI,13105,Energy,Energy,King of Prussia,John L. Walsh,"President, Chief Executive Officer & Director",5686,-15,364.7,29.8,10847
458,Owens Corning,16000,Materials,"Building Materials, Glass",Toledo,Michael H. Thaman,"Chairman, President & Chief Executive Officer",5677,6.1,393,19.1,7741
459,S&P Global,20000,Business Services,Financial Data Services,New York,Douglas L. Peterson,"President, Chief Executive Officer & Director",5661,6.6,2106,82.2,8669
460,Markel,10900,Financials,Insurance: Property and Casualty (Stock),Glen Allen,"Thomas S. Gayner, Richard R. Whitt III",Co-Chief Executive Officer & Director,5612,4.5,455.7,-21.8,25875
461,Wyndham Worldwide,37800,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Parsippany,Stephen P. Holmes,Chairman & Chief Executive Officer,5599,1.1,611,-0.2,9819
462,Arthur J. Gallagher,24790,Financials,Diversified Financials,Itasca,J. Patrick Gallagher Jr.,"Chairman, President & Chief Executive Officer",5595,3.8,414.4,16.1,11490
463,Burlington Stores,40000,Retailing,Specialty Retailers: Apparel,Burlington,Thomas A. Kingsbury,"Chairman, President & Chief Executive Officer",5591,9,215.9,43.5,2575
464,First American Financial,19531,Financials,Insurance: Property and Casualty (Stock),Santa Ana,Dennis J. Gilmore,Chief Executive Officer & Director,5576,7.7,343,19.1,8832
465,Symantec,11000,Technology,Computer Software,Mountain View,Gregory S. Clark,Chief Executive Officer & Director,5568,-14.4,2488,183.4,11767
466,Patterson,7000,Wholesalers,Wholesalers: Health Care,St. Paul,James W. Wiltz,Interim President & CEO,5555,27,187.2,-16.2,3521
467,Olin,6400,Chemicals,Chemicals,Clayton,John E. Fischer,"President, Chief Executive Officer & Director",5551,94.5,-3.9,-16.2,8763
468,NetApp,12030,Technology,Computer Peripherals,Sunnyvale,George Kurian,"President, Chief Executive Officer & Director",5546,-9.4,229,-59.1,10037
469,Raymond James Financial,11900,Financials,Securities,St. Petersburg,Paul C. Reilly,Chairman & Chief Executive Officer,5520,4,529.4,5.4,31594
470,TravelCenters of America,20259,Retailing,Specialty Retailers: Other,Westlake,Thomas M. O'Brien,"President, Chief Executive Officer & Director",5511,-5.8,-2,-107.3,1660
471,Fiserv,23000,Business Services,Financial Data Services,Brookfield,Jeffery W. Yabuki,"President, Chief Executive Officer & Director",5505,4.8,930,30.6,9743
472,Host Hotels & Resorts,220,Financials,Real Estate,Bethesda,James F. Risoleo,"President, Chief Executive Officer & Director",5488,1.9,762,36.6,11408
473,Insight Enterprises,5930,Wholesalers,Wholesalers: Electronics and Office Equipment,Tempe,Kenneth T. Lamneck,"President, Chief Executive Officer & Director",5486,2.1,84.7,11.7,2219
474,Mattel,32000,Household Products,"Toys, Sporting Goods",El Segundo,Margaret H. Georgiadis,Chief Executive Officer & Director,5457,-4.3,318,-13.9,6494
475,AmTrust Financial Services,8000,Financials,Insurance: Property and Casualty (Stock),New York,Barry D. Zyskind,"Chairman, President & Chief Executive Officer",5451,18.1,411,-8.8,22615
476,Cincinnati Financial,4754,Financials,Insurance: Property and Casualty (Stock),Fairfield,Steven J. Johnston,"President, Chief Executive Officer & Director",5449,6,590.7,-6.8,20386
477,Simon Property Group,4050,Financials,Real Estate,Indianapolis,David E. Simon,Chairman & Chief Executive Officer,5435,3.2,1838.9,0.6,31104
478,Western Union,10700,Business Services,Financial Data Services,Englewood,Hikmet Ersek,"President, Chief Executive Officer & Director",5423,-1.1,253.2,-69.8,9420
479,KeyCorp,15700,Financials,Commercial Banks,Cleveland,Beth E. Mooney,"Chairman, President & Chief Executive Officer",5422,19.4,791,-13.6,136453
480,Delek US Holdings,1326,Energy,Petroleum Refining,Brentwood,Ezra Uzi Yemin,"Chairman, President & Chief Executive Officer",5414,-6,-153.7,-892.3,2985
481,Booz Allen Hamilton Holding,22600,Technology,Information Technology Services,McLean,Horacio D. Rozanski,"President, Chief Executive Officer & Director",5406,2.5,294.1,26.5,3010
482,Chemours,7000,Chemicals,Chemicals,Wilmington,Mark P. Vergnano,"President, Chief Executive Officer & Director",5400,2.5,7,26.5,6060
483,Western & Southern Financial Group,2178,Financials,"Insurance: Life, Health (Mutual)",Cincinnati,John F. Barrett,"Chairman, President & Chief Executive Officer",5398,0.8,241.2,-47.2,43831
484,Celanese,7293,Chemicals,Chemicals,Irving,Mark C. Rohr,"Chairman, President & Chief Executive Officer",5389,-5,900,196.1,8357
485,Windstream Holdings,11870,Telecommunications,Telecommunications,Little Rock,Anthony W. Thomas,"President, Chief Executive Officer & Director",5387,-6.6,-383.5,"-1,499.60",11770
486,Seaboard,11781,"Food, Beverages & Tobacco",Food Production,Merriam,Steven J. Bresky,"Chairman, President & Chief Executive Officer",5379,-3.8,312,82.5,4755
487,Essendant,6600,Wholesalers,Wholesalers: Electronics and Office Equipment,Deerfield,Robert B. Aiken Jr.,"President, Chief Executive Officer & Director",5369,0.1,63.9,82.5,2164
488,Apache,3727,Energy,"Mining, Crude-Oil Production",Houston,John J. Christmann IV,"President, Chief Executive Officer & Director",5354,-19.5,-1405,82.5,22519
489,Airgas,17000,Wholesalers,Wholesalers: Diversified,Radnor,John J. Christmann IV,Chief Executive Officer & Director,5314,0.2,337.5,-8.3,6135
490,Kelly Services,7500,Business Services,Temporary Help,Troy,George S. Corona,"President, Chief Executive Officer & Director",5277,-4.4,120.8,124.5,2028
491,Liberty Media,3626,Media,Entertainment,Englewood,Gregory B. Maffei,"President, Chief Executive Officer & Director",5276,10,680,962.5,31377
492,Rockwell Collins,19000,Aerospace & Defense,Aerospace and Defense,Cedar Rapids,Robert K. Ortberg,"Chairman, President & Chief Executive Officer",5259,-0.1,728,6.1,7707
493,Robert Half International,16400,Business Services,Temporary Help,Menlo Park,Harold M. Messmer Jr.,Chairman & Chief Executive Officer,5250,3.1,343.4,-4,1778
494,CH2M Hill,20000,Engineering & Construction,"Engineering, Construction",Englewood,Jacqueline C. Hinman,"Chairman, President & Chief Executive Officer",5236,-2.3,15,-81.3,2671
495,Big Lots,23150,Retailing,Specialty Retailers: Other,Columbus,David J. Campisi,"President, Chief Executive Officer & Director",5200,0.2,152.8,7,1608
496,Michaels Cos.,31000,Retailing,Specialty Retailers: Other,Irving,Carl S. Rubin,Chairman & Chief Executive Officer,5197,5.8,378.2,4.2,2148
497,Toll Brothers,4200,Engineering & Construction,Homebuilders,Horsham,Douglas C. Yearley Jr.,Chief Executive Officer & Director,5170,23.9,382.1,5.2,9737
498,Yahoo,8500,Technology,Internet Services and Retailing,Sunnyvale,Marissa A. Mayer,"President, Chief Executive Officer & Director",5169,4,-214.3,5.2,48083
499,Vistra Energy,4431,Energy,Energy,Dallas,Curtis A. Morgan,"President, Chief Executive Officer & Director",5164,4,-214.3,5.2,15167
500,ABM Industries,110000,Business Services,Diversified Outsourcing Services,New York,Scott B. Salmirs,"President, Chief Executive Officer & Director",5145,-2.8,57.2,-25,2281
