Rank,Title,Employees,Sector,Industry,Hqcity,Ceo,Ceo-title,Revenues,Revchange,Profits,Prftchange,Assets
107,Tech Data,9500,Wholesalers,Wholesalers: Electronics and Office Equipment,Clearwater,Robert M. Dutkowsky,Chief Executive Officer & Director,26235,-0.5,195.1,-26.6,7932
108,Avnet,17700,Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,William J. Amelio,Chief Executive Officer & Director,26219,-6.1,506.5,-11.4,11240
109,Mondelez International,90000,"Food, Beverages & Tobacco",Food Consumer Products,Deerfield,Irene B. Rosenfeld,Chairman & Chief Executive Officer,25923,-12.5,1659,-77.2,61538
110,Macy’s,148300,Retailing,General Merchandisers,Cincinnati,Jeffrey Gennette,"President, Chief Executive Officer & Director",25778,-4.8,619,-42.3,19851
111,AbbVie,30000,Health Care,Pharmaceuticals,North Chicago,Richard A. Gonzalez,Chairman & Chief Executive Officer,25638,12.2,5953,15.7,66099
112,McDonald’s,375000,"Hotels, Restaurants & Leisure",Food Services,Oak Brook,Stephen J. Easterbrook,"President, Chief Executive Officer & Director",24622,-3.1,4686.5,3.5,31024
113,DuPont,46000,Chemicals,Chemicals,Wilmington,Edward D. Breen,Chairman & Chief Executive Officer,24594,-12,2513,28.7,39964
114,Northrop Grumman,67000,Aerospace & Defense,Aerospace and Defense,Falls Church,Wesley G. Bush,"Chairman, President & Chief Executive Officer",24508,4.2,2200,10.6,25614
115,ConocoPhillips,13300,Energy,"Mining, Crude-Oil Production",Houston,Ryan M. Lance,Chairman & Chief Executive Officer,24360,-21.3,-3615,10.6,89772
116,Raytheon,63000,Aerospace & Defense,Aerospace and Defense,Waltham,Thomas A. Kennedy,Chairman & Chief Executive Officer,24069,3.5,2211,6.6,30052
117,Tesoro,6308,Energy,Petroleum Refining,San Antonio,Gregory J. Goff,"Chairman, President & Chief Executive Officer",24005,-14.7,734,-52.3,20398
118,Arrow Electronics,18700,Wholesalers,Wholesalers: Electronics and Office Equipment,Centennial,Michael J. Long,"Chairman, President & Chief Executive Officer",23825,2.3,522.8,5,14206
119,Qualcomm,30500,Technology,Semiconductors and Other Electronic Components,San Diego,Steven M. Mollenkopf,Chief Executive Officer & Director,23554,-6.8,5705,8.2,52359
120,Progressive,31721,Financials,Insurance: Property and Casualty (Stock),Mayfield Village,Susan Patricia Griffith,"President, Chief Executive Officer & Director",23441,12.4,1031,-18.7,33428
121,Duke Energy,28798,Energy,Utilities: Gas and Electric,Charlotte,Lynn J. Good,"Chairman, President & Chief Executive Officer",23369,-1,2152,-23.6,132761
122,Enterprise Products Partners,6800,Energy,Pipelines,Houston,A. James Teague,Chief Executive Officer & Director,23022,-14.8,2513.1,-0.3,52194
123,Amgen,19200,Health Care,Pharmaceuticals,Thousand Oaks,Robert A. Bradway,Chairman & Chief Executive Officer,22991,6.1,7722,11.3,77626
